3.000000,0.370000,1,1
0.358570,0.019683,3.676916,0.001271,0.859997,0.600045,5.199747,0.001797,0.442456,0.580340,5.208552,0.000000,0.000000,0.000072,0.000000,0.002884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002884,0.000000,0.115371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000001,0.000047,335.376737,1
0.373395,0.019750,3.006747,0.003281,1.119984,0.600225,5.199429,0.005390,0.718576,0.580340,5.486072,-0.000000,-0.000003,0.000750,-0.000000,0.013258,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000001,0.013258,-0.000000,0.309789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000000,0.000001,0.000000,0.000005,0.000094,9.967577,0
0.368707,0.019889,2.615244,0.006203,1.379955,0.600629,5.198979,0.010778,1.025686,0.580328,5.685198,-0.000044,-0.000487,0.000687,-0.000000,0.005340,-0.000000,-0.000002,-0.000000,0.000000,-0.000000,0.000000,0.000003,0.005340,-0.000000,0.067028,-0.000001,-0.000027,-0.000000,0.000000,-0.000001,0.000001,0.000018,-0.000002,0.000003,-0.000027,0.000018,0.000436,20.944302,1
0.357732,0.020124,2.355452,0.009908,1.639904,0.601347,5.198392,0.017960,1.329930,0.580311,5.817087,-0.000068,-0.000514,0.001320,-0.000000,0.008711,-0.000000,-0.000003,-0.000000,0.000000,-0.000001,0.000001,0.000011,0.008711,-0.000001,0.085945,-0.000002,-0.000025,-0.000000,0.000001,-0.000002,0.000004,0.000048,-0.000003,0.000011,-0.000025,0.000048,0.000778,4.943290,0
0.346410,0.020494,2.161257,0.014701,1.899823,0.602470,5.197661,0.026932,1.616735,0.580218,5.731903,-0.000254,-0.001687,0.001358,-0.000000,0.005644,-0.000001,-0.000008,-0.000000,0.000002,-0.000003,0.000004,0.000030,0.005644,-0.000003,0.047984,-0.000007,-0.000072,-0.000001,0.000004,-0.000007,0.000011,0.000096,-0.000008,0.000030,-0.000072,0.000096,0.001120,2.919595,1
0.332532,0.021021,2.015285,0.020220,2.159704,0.604086,5.196776,0.037693,1.927239,0.580143,5.831938,-0.000320,-0.001618,0.001885,-0.000001,0.007885,-0.000001,-0.000010,-0.000001,0.000006,-0.000006,0.000012,0.000066,0.007885,-0.000006,0.067468,-0.000010,-0.000068,-0.000001,0.000012,-0.000010,0.000024,0.000160,-0.000010,0.000066,-0.000068,0.000160,0.001462,3.528337,0
0.323265,0.021734,1.888391,0.026396,2.419540,0.606284,5.195728,0.050239,2.170622,0.580100,5.509643,-0.000334,-0.001433,0.001963,-0.000001,0.005598,-0.000002,-0.000015,-0.000001,0.000017,-0.000014,0.000026,0.000123,0.005598,-0.000014,0.044731,-0.000023,-0.000136,-0.000002,0.000026,-0.000023,0.000044,0.000241,-0.000015,0.000123,-0.000136,0.000241,0.001801,2.740936,1
0.312803,0.022663,1.785009,0.033208,2.679323,0.609155,5.194504,0.064565,2.468117,0.580111,5.579396,-0.000251,-0.000843,0.002370,-0.000003,0.007512,-0.000004,-0.000019,-0.000003,0.000037,-0.000022,0.000049,0.000201,0.007512,-0.000022,0.064427,-0.000030,-0.000129,-0.000004,0.000049,-0.000030,0.000072,0.000339,-0.000019,0.000201,-0.000129,0.000339,0.002141,2.067783,0
0.303786,0.023837,1.695456,0.040628,2.939043,0.612786,5.193090,0.080668,2.733500,0.580236,5.456553,-0.000084,-0.000165,0.002458,-0.000003,0.005497,-0.000005,-0.000021,-0.000003,0.000074,-0.000039,0.000087,0.000308,0.005497,-0.000039,0.044179,-0.000051,-0.000212,-0.000005,0.000087,-0.000051,0.000111,0.000451,-0.000021,0.000308,-0.000212,0.000451,0.002470,0.920336,1
0.295357,0.025281,1.618555,0.048557,3.198690,0.617267,5.191470,0.098541,3.007016,0.580547,5.458331,0.000263,0.000951,0.002750,-0.000006,0.007258,-0.000007,-0.000028,-0.000006,0.000134,-0.000052,0.000141,0.000445,0.007258,-0.000052,0.064012,-0.000054,-0.000201,-0.000007,0.000141,-0.000054,0.000161,0.000580,-0.000028,0.000445,-0.000201,0.000580,0.002803,0.144087,0
